|tripnum     |depotcode|transporter               |vehiclereg|startdate              |stopdate               |avg_percent|loaddate                     |total_trip_time|total_distance|
|2024-0061196|EB21     |Makwande                  |KS49VWGP  |2024-10-17 16:30:00.000|2024-10-17 19:14:00.000|89.63      |2024-10-17 02:35:00.000 +0200|9,840          |224           |
|2024-0061196|EB21     |Makwande                  |KS49WLGP  |2024-10-17 16:30:00.000|2024-10-17 19:14:00.000|88.99      |2024-10-17 02:35:00.000 +0200|9,840          |224           |
|2024-0061261|EB21     |Makwande                  |KN93YRGP  |2024-10-18 01:17:00.000|                       |91.75      |2024-10-18 01:17:00.000 +0200|               |0             |
|2024-0046517|EB06     |Tanker Services Fuel      |KP55MSGP  |2024-08-09 15:28:00.000|2024-08-10 02:19:00.000|82.88      |2024-08-09 15:08:00.000 +0200|39,060         |120           |
|2024-0051672|EB08     |Tanker Services Fuel      |KR53HNGP  |                       |                       |80.41      |                             |               |227           |
|2024-0051950|EB06     |Reef Tankers              |FP36LWGP  |2024-09-04 17:13:00.000|                       |93.01      |2024-09-04 17:02:00.000 +0200|               |0             |
|2024-0063341|EB06     |Reef Tankers              |LV19ZMGP  |2024-10-27 20:50:00.000|                       |94.58      |2024-10-27 20:44:00.000 +0200|               |0             |
|2024-0058436|EB08     |Tanker Services Fuel      |KR53HNGP  |2024-10-05 08:36:00.000|2024-10-05 18:21:00.000|76.07      |2024-10-05 08:31:00.000 +0200|35,100         |320           |
|2024-0059559|EA35     |Unitrans Supply Chain Sols|CAA306835 |2024-10-10 07:49:00.000|2024-10-11 06:53:00.000|74.43      |2024-10-10 07:43:00.000 +0200|83,040         |506           |
|2024-0060745|EB23     |Makwande                  |KNP803MP  |2024-10-15 18:30:00.000|                       |75.99      |2024-10-15 18:25:00.000 +0200|               |0             |
|2024-0060745|EB23     |Makwande                  |KNM191MP  |2024-10-15 18:30:00.000|                       |74.32      |2024-10-15 18:25:00.000 +0200|               |0             |
|2024-0061192|EB06     |Tanker Services Fuel      |KP69WCGP  |2024-10-17 17:41:00.000|2024-10-18 01:36:00.000|90.02      |2024-10-17 17:37:00.000 +0200|28,500         |170           |
|2024-0063576|EB05     |Tanker Services Fuel      |KP80KNGP  |2024-10-28 17:26:00.000|2024-10-29 09:20:00.000|90.52      |2024-10-28 17:20:00.000 +0200|57,240         |29            |
|2024-0045014|EB06     |Tanker Services Fuel      |KS68YTGP  |2024-08-02 00:56:00.000|                       |92.16      |2024-08-02 00:46:00.000 +0200|               |0             |
|2024-0045322|EB05     |Tanker Services Fuel      |KP70CBGP  |2024-08-03 14:35:00.000|                       |91.58      |2024-08-03 14:35:00.000 +0200|               |0             |
|2024-0046693|EA33     |Reef Tankers              |LC21FDGP  |2024-08-10 17:06:00.000|                       |93.13      |2024-08-10 17:03:00.000 +0200|               |0             |
|2024-0049381|EA33     |Unitrans Supply Chain Sols|CAA425438 |2024-08-23 09:17:00.000|2024-08-23 17:07:00.000|94.06      |2024-08-23 09:12:00.000 +0200|28,200         |128           |
|2024-0048871|EB21     |Makwande                  |KS49VWGP  |2024-08-21 00:19:00.000|2024-08-21 10:30:00.000|93.1       |2024-08-21 00:19:00.000 +0200|36,660         |56            |
|2024-0048871|EB21     |Makwande                  |KS49WLGP  |2024-08-21 00:19:00.000|2024-08-21 10:30:00.000|94.27      |2024-08-21 00:19:00.000 +0200|36,660         |56            |
|2024-0063322|EB23     |Makwande                  |KNP802MP  |2024-10-27 18:03:00.000|2024-10-27 20:30:00.000|92.22      |2024-10-27 17:56:00.000 +0200|8,820          |42            |
|2024-0055305|EA33     |Unitrans Supply Chain Sols|CAA173582 |2024-09-19 23:47:00.000|                       |94.06      |2024-09-19 23:07:00.000 +0200|               |0             |
|2024-0046155|EB23     |Makwande                  |KR60ZBGP  |2024-08-07 17:59:00.000|2024-08-07 20:45:00.000|73.99      |2024-08-07 17:59:00.000 +0200|9,960          |55            |
|2024-0049056|EB21     |Unitrans Supply Chain Sols|CAA425430 |2024-08-21 19:44:00.000|                       |90.19      |2024-08-21 19:40:00.000 +0200|               |0             |
|2024-0061618|EB05     |Reef Tankers              |JN19RYGP  |2024-10-19 18:14:00.000|                       |94.98      |2024-10-19 18:14:00.000 +0200|               |0             |
|2024-0053755|EB06     |Tanker Services Fuel      |KP80GGGP  |2024-09-12 17:25:00.000|                       |92.09      |2024-09-12 17:15:00.000 +0200|               |0             |
|2024-0053835|EB06     |Reef Tankers              |HJ73JZGP  |2024-09-13 02:58:00.000|                       |94.67      |2024-09-13 02:44:00.000 +0200|               |0             |
|2024-0054031|EB06     |Makwande                  |KB53VBGP  |2024-09-13 23:19:00.000|2024-09-14 09:13:00.000|93.96      |2024-09-13 22:59:00.000 +0200|35,640         |226           |
|2024-0053770|EB06     |Reef Tankers              |LV19ZMGP  |2024-09-12 19:09:00.000|                       |94.81      |2024-09-12 19:02:00.000 +0200|               |0             |
|2024-0056171|EA33     |Unitrans Supply Chain Sols|CAA419006 |2024-09-24 12:18:00.000|2024-09-24 14:21:00.000|94.07      |2024-09-24 10:02:00.000 +0200|7,380          |28            |
|2024-0057649|EB05     |Tanker Services Fuel      |KP70DSGP  |2024-10-01 14:27:00.000|                       |92.39      |2024-10-01 14:13:00.000 +0200|               |0             |
|2024-0046101|EA33     |Unitrans Supply Chain Sols|CAA548852 |2024-08-07 12:48:00.000|2024-08-07 19:18:00.000|94.12      |2024-08-07 12:42:00.000 +0200|23,400         |77            |
|2024-0047600|EA33     |Unitrans Supply Chain Sols|CAA425307 |2024-08-14 20:46:00.000|2024-08-15 09:08:00.000|90.9       |2024-08-14 20:42:00.000 +0200|44,520         |85            |
|2024-0051798|EA35     |Unitrans Supply Chain Sols|CAA133421 |2024-09-04 07:47:00.000|                       |84.74      |2024-09-04 07:40:00.000 +0200|               |0             |
|2024-0061822|EB23     |Makwande                  |KR60ZBGP  |2024-10-20 20:31:00.000|                       |72.16      |2024-10-20 20:31:00.000 +0200|               |0             |
|2024-0052376|EB05     |Tanker Services Fuel      |KP70DSGP  |2024-09-06 13:49:00.000|                       |92.29      |2024-09-06 13:37:00.000 +0200|               |0             |
|2024-0053902|EA33     |Unitrans Supply Chain Sols|CAA425318 |2024-09-13 11:38:00.000|2024-09-13 16:25:00.000|86.67      |2024-09-13 08:24:00.000 +0200|17,220         |76            |
|2024-0055025|EB06     |Tanker Services Fuel      |KP70CRGP  |2024-09-18 16:21:00.000|                       |92.13      |2024-09-18 16:03:00.000 +0200|               |0             |
|2024-0058997|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-10-07 17:40:00.000|2024-10-07 21:27:00.000|86.37      |2024-10-07 17:39:00.000 +0200|13,620         |24            |
|2024-0045387|EB21     |Makwande                  |KP57DGGP  |2024-08-04 01:43:00.000|                       |77.55      |2024-08-04 01:43:00.000 +0200|               |0             |
|2024-0045387|EB21     |Makwande                  |KP57DGGP  |2024-08-04 01:43:00.000|2024-08-04 19:30:00.000|77.55      |2024-08-04 01:43:00.000 +0200|64,020         |584           |
|2024-0052077|EA33     |Unitrans Supply Chain Sols|CAA425438 |2024-09-05 08:49:00.000|2024-09-05 09:09:00.000|87.79      |2024-09-05 08:12:00.000 +0200|1,200          |46            |
|2024-0053000|EB05     |Tanker Services Fuel      |KP57KCGP  |2024-09-09 14:29:00.000|                       |89.92      |2024-09-09 14:15:00.000 +0200|               |0             |
|2024-0056046|EB21     |Makwande                  |KP57DGGP  |2024-09-23 18:23:00.000|                       |91.33      |2024-09-23 18:23:00.000 +0200|               |0             |
|2024-0057835|EA33     |Unitrans Supply Chain Sols|CAA548852 |2024-10-02 11:58:00.000|2024-10-03 08:31:00.000|90.04      |2024-10-02 11:51:00.000 +0200|73,980         |64            |
|2024-0057700|EB06     |Tanker Services Fuel      |KP69YSGP  |2024-10-01 20:35:00.000|                       |94.28      |2024-10-01 20:23:00.000 +0200|               |0             |
|2024-0048370|EB21     |Makwande                  |KN23MGGP  |2024-08-19 06:00:00.000|                       |85.18      |2024-08-19 02:08:00.000 +0200|               |0             |
|2024-0045489|EA33     |Unitrans Supply Chain Sols|CAA173582 |2024-08-04 20:11:00.000|2024-08-04 21:49:00.000|92.24      |2024-08-04 16:26:00.000 +0200|5,880          |99            |
|2024-0046430|EB21     |Makwande                  |KN52WDGP  |2024-08-09 06:00:00.000|2024-08-09 10:40:00.000|76.13      |2024-08-09 04:04:00.000 +0200|16,800         |93            |
|2024-0047794|EA33     |Unitrans Supply Chain Sols|CAA418992 |2024-08-15 19:59:00.000|2024-08-16 01:27:00.000|93.88      |2024-08-15 19:55:00.000 +0200|19,680         |94            |
|2024-0059304|EB06     |Tanker Services Fuel      |KP69XNGP  |2024-10-09 04:16:00.000|                       |88.44      |2024-10-09 04:10:00.000 +0200|               |0             |
|2024-0060774|EB21     |Makwande                  |KS49VWGP  |2024-10-15 21:02:00.000|2024-10-16 09:20:00.000|80.29      |2024-10-15 21:02:00.000 +0200|44,280         |83            |
|2024-0046388|EA33     |Tanker Services Fuel      |KR15VMGP  |2024-08-08 20:40:00.000|                       |90.3       |2024-08-08 20:31:00.000 +0200|               |0             |
|2024-0046388|EA33     |Tanker Services Fuel      |KR44GGGP  |2024-08-08 20:40:00.000|                       |85.16      |2024-08-08 20:31:00.000 +0200|               |0             |
|2024-0047606|EB06     |Tanker Services Fuel      |KP80GGGP  |2024-08-14 21:16:00.000|2024-08-15 03:03:00.000|76.02      |2024-08-14 21:04:00.000 +0200|20,820         |86            |
|2024-0047754|EA33     |Unitrans Supply Chain Sols|CAA192673 |2024-08-15 15:10:00.000|2024-08-15 19:51:00.000|94.51      |2024-08-15 14:40:00.000 +0200|16,860         |118           |
|2024-0052552|EA33     |Unitrans Supply Chain Sols|CAA192673 |2024-09-07 11:00:00.000|2024-09-07 15:34:00.000|74.84      |2024-09-07 10:48:00.000 +0200|16,440         |41            |
|2024-0048367|EB21     |Makwande                  |KP09PHGP  |2024-08-19 06:00:00.000|2024-08-19 13:30:00.000|89.86      |2024-08-19 01:27:00.000 +0200|27,000         |218           |
|2024-0044999|EA33     |Unitrans Supply Chain Sols|CAA130046 |2024-08-01 23:30:00.000|                       |73.22      |2024-08-01 23:27:00.000 +0200|               |0             |
|2024-0044999|EA33     |Unitrans Supply Chain Sols|CAA130046 |2024-08-01 23:30:00.000|2024-08-02 11:13:00.000|73.22      |2024-08-01 23:27:00.000 +0200|42,180         |55            |
|2024-0047210|EB08     |Tanker Services Fuel      |KP69ZRGP  |2024-08-13 08:36:00.000|                       |82.51      |2024-08-13 08:30:00.000 +0200|               |0             |
|2024-0051750|EA33     |Unitrans Supply Chain Sols|CAA419006 |                       |                       |87.17      |                             |               |100           |
|2024-0053909|EB06     |Tanker Services Fuel      |KP69YSGP  |2024-09-13 12:01:00.000|2024-09-13 22:28:00.000|89.45      |2024-09-13 11:44:00.000 +0200|37,620         |171           |
|2024-0054827|EB06     |Tanker Services Fuel      |KP80MRGP  |2024-09-17 19:15:00.000|2024-09-18 09:57:00.000|75.77      |2024-09-17 19:03:00.000 +0200|52,920         |521           |
|2024-0057847|EB21     |Makwande                  |KN23LXGP  |2024-10-02 12:44:00.000|2024-10-02 19:30:00.000|79.35      |2024-10-02 12:42:00.000 +0200|24,360         |63            |
|2024-0058712|EB21     |Makwande                  |KS49WFGP  |2024-10-06 13:59:00.000|2024-10-06 18:13:00.000|62.55      |2024-10-06 13:59:00.000 +0200|15,240         |59            |
|2024-0058712|EB21     |Makwande                  |KS49XBGP  |2024-10-06 13:59:00.000|2024-10-06 18:13:00.000|92.63      |2024-10-06 13:59:00.000 +0200|15,240         |59            |
|2024-0049899|EA33     |Unitrans Supply Chain Sols|CAA198211 |2024-08-26 12:55:00.000|2024-08-26 17:00:00.000|93.84      |2024-08-26 12:14:00.000 +0200|14,700         |100           |
|2024-0052235|EB21     |Makwande                  |KNF950MP  |2024-09-05 21:16:00.000|2024-09-06 07:10:00.000|89.44      |2024-09-05 21:10:00.000 +0200|35,640         |323           |
|2024-0058741|EB06     |ManLine Energy            |KPV575MP  |2024-10-06 17:45:00.000|                       |93.03      |2024-10-06 17:40:00.000 +0200|               |0             |
|2024-0047273|EB06     |Tanker Services Fuel      |KS68YTGP  |2024-08-13 11:39:00.000|                       |0          |2024-08-13 10:57:00.000 +0200|               |0             |
|2024-0047273|EB06     |Tanker Services Fuel      |KR89BYGP  |2024-08-13 11:39:00.000|                       |87.13      |2024-08-13 10:57:00.000 +0200|               |0             |
|2024-0047401|EB23     |Makwande                  |KPR059MP  |2024-08-13 23:21:00.000|                       |55.72      |2024-08-13 23:21:00.000 +0200|               |0             |
|2024-0049482|EB05     |Tanker Services Fuel      |KP70CRGP  |2024-08-23 13:55:00.000|                       |91.81      |2024-08-23 13:31:00.000 +0200|               |0             |
|2024-0050320|EB06     |Tanker Services Fuel      |KP70BFGP  |2024-08-28 09:37:00.000|                       |91.83      |2024-08-28 09:29:00.000 +0200|               |0             |
|2024-0053254|EB06     |Tanker Services Fuel      |KP80MRGP  |2024-09-10 13:50:00.000|                       |88.76      |2024-09-10 13:42:00.000 +0200|               |0             |
|2024-0053591|EA33     |Unitrans Supply Chain Sols|CAA198211 |2024-09-12 02:25:00.000|2024-09-12 16:31:00.000|94.84      |2024-09-12 02:21:00.000 +0200|50,760         |95            |
|2024-0054040|EB06     |Tanker Services Fuel      |KR89BYGP  |2024-09-13 23:55:00.000|2024-09-14 12:44:00.000|92.94      |2024-09-13 23:32:00.000 +0200|46,140         |211           |
|2024-0054040|EB06     |Tanker Services Fuel      |KP56MPGP  |2024-09-13 23:55:00.000|2024-09-14 12:44:00.000|89.28      |2024-09-13 23:32:00.000 +0200|46,140         |211           |
|2024-0055718|EB21     |Unitrans Supply Chain Sols|CAA425430 |2024-09-22 09:12:00.000|                       |94.66      |2024-09-22 09:10:00.000 +0200|               |0             |
|2024-0063516|EB05     |Tanker Services Fuel      |KP70CBGP  |2024-10-28 12:52:00.000|                       |93.52      |2024-10-28 12:34:00.000 +0200|               |0             |
|2024-0045355|EA33     |Unitrans Supply Chain Sols|CAA329932 |2024-08-03 20:28:00.000|                       |73.92      |2024-08-03 19:47:00.000 +0200|               |0             |
|2024-0045355|EA33     |Unitrans Supply Chain Sols|CAA329932 |2024-08-03 20:28:00.000|2024-08-04 01:45:00.000|73.92      |2024-08-03 19:47:00.000 +0200|19,020         |112           |
|2024-0047059|EB06     |Tanker Services Fuel      |KP69YSGP  |2024-08-12 13:45:00.000|                       |89.36      |2024-08-12 13:06:00.000 +0200|               |0             |
|2024-0061812|EB23     |Makwande                  |KPR059MP  |2024-10-20 19:17:00.000|                       |70.86      |2024-10-20 19:17:00.000 +0200|               |0             |
|2024-0052705|EA33     |Unitrans Supply Chain Sols|CAA419040 |2024-09-08 08:44:00.000|2024-09-08 15:55:00.000|87.83      |2024-09-08 07:57:00.000 +0200|25,860         |100           |
|2024-0052738|EB06     |Tanker Services Fuel      |KR15VMGP  |2024-09-08 14:44:00.000|                       |92.76      |2024-09-08 14:14:00.000 +0200|               |0             |
|2024-0052738|EB06     |Tanker Services Fuel      |KR44GGGP  |2024-09-08 14:44:00.000|                       |93.98      |2024-09-08 14:14:00.000 +0200|               |0             |
|2024-0055713|EB23     |Makwande                  |KNM193MP  |2024-09-22 09:02:00.000|                       |90.3       |2024-09-22 08:57:00.000 +0200|               |0             |
|2024-0055797|EB23     |Makwande                  |KNM191MP  |2024-09-22 17:23:00.000|                       |92.36      |2024-09-22 17:21:00.000 +0200|               |0             |
|2024-0055797|EB23     |Makwande                  |KNP803MP  |2024-09-22 17:23:00.000|                       |85.09      |2024-09-22 17:21:00.000 +0200|               |0             |
|2024-0056083|EB21     |Unitrans Supply Chain Sols|CAA425307 |2024-09-23 21:04:00.000|                       |83.96      |2024-09-23 21:04:00.000 +0200|               |0             |
|2024-0044898|EB06     |Tanker Services Fuel      |KP69YDGP  |2024-08-01 10:40:00.000|                       |78.58      |2024-08-01 10:29:00.000 +0200|               |0             |
|2024-0047378|EA33     |Unitrans Supply Chain Sols|CAA329932 |2024-08-13 21:26:00.000|2024-08-14 02:05:00.000|90.64      |2024-08-13 20:07:00.000 +0200|16,740         |123           |
|2024-0047557|EB06     |Reef Tankers              |HH81RLGP  |2024-08-14 16:19:00.000|                       |92.67      |2024-08-14 16:12:00.000 +0200|               |0             |
|2024-0049188|EB06     |Tanker Services Fuel      |KP70BFGP  |2024-08-22 09:58:00.000|2024-08-22 21:05:00.000|87.47      |2024-08-22 09:48:00.000 +0200|40,020         |257           |
|2024-0053735|EA33     |Unitrans Supply Chain Sols|CAA173582 |2024-09-12 15:57:00.000|2024-09-12 19:40:00.000|93.67      |2024-09-12 13:54:00.000 +0200|13,380         |66            |
|2024-0058160|EB06     |Reef Tankers              |HJ29KTGP  |2024-10-03 23:47:00.000|                       |92.93      |2024-10-03 23:43:00.000 +0200|               |0             |
|2024-0045490|EA33     |Unitrans Supply Chain Sols|CAA419040 |2024-08-04 20:18:00.000|                       |94.54      |2024-08-04 19:52:00.000 +0200|               |0             |
|2024-0045490|EA33     |Unitrans Supply Chain Sols|CAA419040 |2024-08-04 20:18:00.000|2024-08-05 00:36:00.000|94.54      |2024-08-04 19:52:00.000 +0200|15,480         |98            |
|2024-0047251|EA33     |Reef Tankers              |LV20BGGP  |2024-08-13 10:23:00.000|                       |93.19      |2024-08-13 10:16:00.000 +0200|               |0             |
|2024-0049434|EB21     |Unitrans Supply Chain Sols|CAA130046 |2024-08-23 10:59:00.000|2024-08-23 16:56:00.000|93.85      |2024-08-23 10:55:00.000 +0200|21,420         |243           |
|2024-0049825|EB06     |Makwande                  |KB53VBGP  |2024-08-26 01:17:00.000|                       |88.6       |2024-08-26 01:10:00.000 +0200|               |0             |
|2024-0050863|EA33     |Unitrans Supply Chain Sols|CAA425430 |                       |                       |91.11      |                             |               |0             |
|2024-0062318|EB06     |Tanker Services Fuel      |KP69XNGP  |2024-10-22 23:12:00.000|                       |86.76      |2024-10-22 23:09:00.000 +0200|               |0             |
|2024-0053104|EB06     |Tanker Services Fuel      |KP69XNGP  |2024-09-09 23:58:00.000|2024-09-10 22:39:00.000|78.08      |2024-09-09 23:43:00.000 +0200|81,660         |293           |
|2024-0054831|EA33     |Unitrans Supply Chain Sols|CAA419040 |2024-09-17 19:40:00.000|2024-09-18 11:00:00.000|89.71      |2024-09-17 19:18:00.000 +0200|55,200         |113           |
|2024-0057318|EB23     |Makwande                  |KNM197MP  |2024-09-30 08:21:00.000|                       |47.06      |2024-09-30 08:18:00.000 +0200|               |0             |
|2024-0057200|EB05     |Anax Logistics            |JDH103EC  |2024-09-29 13:27:00.000|                       |92.79      |2024-09-29 13:25:00.000 +0200|               |0             |
|2024-0060031|EA33     |Unitrans Supply Chain Sols|CAA198211 |2024-10-12 12:22:00.000|2024-10-12 16:35:00.000|80.37      |2024-10-12 12:19:00.000 +0200|15,180         |58            |
|2024-0045735|EB23     |Makwande                  |KNM209MP  |2024-08-05 19:23:00.000|                       |77.35      |2024-08-05 19:23:00.000 +0200|               |0             |
|2024-0047618|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-08-14 22:21:00.000|2024-08-15 01:42:00.000|84.63      |2024-08-14 22:15:00.000 +0200|12,060         |106           |
|2024-0047936|EB21     |Makwande                  |KP57DGGP  |2024-08-16 11:14:00.000|2024-08-16 14:20:00.000|74.9       |2024-08-16 11:10:00.000 +0200|11,160         |40            |
|2024-0062071|EB06     |Tanker Services Fuel      |KP80NNGP  |2024-10-21 21:01:00.000|2024-10-22 15:00:00.000|79.99      |2024-10-21 20:24:00.000 +0200|64,740         |108           |
|2024-0062334|EB06     |Tanker Services Fuel      |KP80HXGP  |2024-10-23 01:06:00.000|2024-10-23 20:15:00.000|84.37      |2024-10-23 00:54:00.000 +0200|68,940         |293           |
|2024-0053778|EB23     |Makwande                  |KNM197MP  |2024-09-12 20:07:00.000|                       |48.96      |2024-09-12 20:07:00.000 +0200|               |0             |
|2024-0057247|EB21     |Unitrans Supply Chain Sols|CAA130019 |2024-09-29 20:41:00.000|                       |93.17      |2024-09-29 20:40:00.000 +0200|               |0             |
|2024-0058144|EB21     |Makwande                  |KN31RWGP  |2024-10-03 21:32:00.000|                       |92.64      |2024-10-03 21:31:00.000 +0200|               |0             |
|2024-0059187|EA33     |Unitrans Supply Chain Sols|CAA419040 |2024-10-08 15:05:00.000|2024-10-08 21:11:00.000|92.71      |2024-10-08 15:00:00.000 +0200|21,960         |77            |
|2024-0060709|EA33     |Unitrans Supply Chain Sols|CAA329952 |2024-10-15 15:32:00.000|                       |74.06      |2024-10-15 15:30:00.000 +0200|               |0             |
|2024-0062659|EB06     |Tanker Services Fuel      |KP70CRGP  |2024-10-24 12:40:00.000|2024-10-24 20:31:00.000|91.4       |2024-10-24 12:09:00.000 +0200|28,260         |146           |
|2024-0052392|EB06     |Alter Clique              |FZC024L   |2024-09-06 15:43:00.000|2024-09-07 12:26:00.000|93.48      |2024-09-06 15:04:00.000 +0200|74,580         |262           |
|2024-0055419|EB06     |Tanker Services Fuel      |KP69WCGP  |2024-09-20 14:30:00.000|                       |81.37      |2024-09-20 14:23:00.000 +0200|               |0             |
|2024-0046417|EB06     |Tanker Services Fuel      |KP80NNGP  |2024-08-09 00:57:00.000|                       |85.63      |2024-08-09 00:45:00.000 +0200|               |0             |
|2024-0047843|EB06     |Tanker Services Fuel      |KP70CBGP  |2024-08-16 04:03:00.000|                       |94.03      |2024-08-16 03:50:00.000 +0200|               |0             |
|2024-0047815|EB06     |Tanker Services Fuel      |KP70BFGP  |2024-08-15 21:52:00.000|2024-08-16 14:00:00.000|77.86      |2024-08-15 21:31:00.000 +0200|58,080         |105           |
|2024-0050020|EB21     |Makwande                  |KN52WDGP  |2024-08-27 06:00:00.000|                       |91.95      |2024-08-27 02:21:00.000 +0200|               |0             |
|2024-0045571|EB08     |Tanker Services Fuel      |KR64VWGP  |2024-08-05 08:11:00.000|                       |78.6       |2024-08-05 07:50:00.000 +0200|               |0             |
|2024-0045571|EB08     |Tanker Services Fuel      |KR53HNGP  |2024-08-05 08:11:00.000|                       |71.83      |2024-08-05 07:50:00.000 +0200|               |0             |
|2024-0045571|EB08     |Tanker Services Fuel      |KR64VWGP  |2024-08-05 08:11:00.000|2024-08-05 16:00:00.000|78.6       |2024-08-05 07:50:00.000 +0200|28,140         |260           |
|2024-0045571|EB08     |Tanker Services Fuel      |KR53HNGP  |2024-08-05 08:11:00.000|2024-08-05 16:00:00.000|71.83      |2024-08-05 07:50:00.000 +0200|28,140         |260           |
|2024-0047101|EB21     |Makwande                  |KN93YRGP  |2024-08-12 16:36:00.000|                       |84.9       |2024-08-12 16:35:00.000 +0200|               |0             |
|2024-0050289|EA33     |Unitrans Supply Chain Sols|CAA329952 |2024-08-28 07:53:00.000|2024-08-28 20:12:00.000|80.72      |2024-08-28 07:48:00.000 +0200|44,340         |101           |
|2024-0051091|EB21     |Makwande                  |KN23LYGP  |                       |                       |54.11      |                             |               |53            |
|2024-0053332|EA33     |Unitrans Supply Chain Sols|CAA548852 |2024-09-10 22:10:00.000|2024-09-11 10:46:00.000|73.77      |2024-09-10 20:32:00.000 +0200|45,360         |88            |
|2024-0059250|EA33     |Unitrans Supply Chain Sols|CAA548852 |2024-10-08 21:46:00.000|2024-10-09 06:53:00.000|79.68      |2024-10-08 21:41:00.000 +0200|32,820         |91            |
|2024-0060284|EB21     |Makwande                  |KN23LYGP  |2024-10-13 21:04:00.000|                       |88.29      |2024-10-13 21:01:00.000 +0200|               |0             |
|2024-0060664|EB05     |Reef Tankers              |JZ26LLGP  |2024-10-15 11:35:00.000|                       |42.57      |2024-10-14 00:00:00.000 +0200|               |0             |
|2024-0046876|EB21     |Makwande                  |KN31RWGP  |2024-08-11 20:04:00.000|                       |84.01      |2024-08-11 20:04:00.000 +0200|               |0             |
|2024-0047392|EB21     |Makwande                  |KN23MGGP  |2024-08-13 22:46:00.000|2024-08-14 01:30:00.000|76.89      |2024-08-13 22:35:00.000 +0200|9,840          |53            |
|2024-0052156|EA33     |Unitrans Supply Chain Sols|CAA130046 |2024-09-05 14:15:00.000|2024-09-05 19:25:00.000|72.39      |2024-09-05 13:23:00.000 +0200|18,600         |92            |
|2024-0057072|EB06     |Tanker Services Fuel      |KP69WCGP  |2024-09-28 16:07:00.000|2024-09-29 09:51:00.000|77.89      |2024-09-28 15:45:00.000 +0200|63,840         |409           |
|2024-0059945|EA33     |Unitrans Supply Chain Sols|CAA130019 |2024-10-11 21:14:00.000|                       |81.56      |2024-10-11 21:13:00.000 +0200|               |0             |
|2024-0044909|EB06     |Tanker Services Fuel      |KS68YTGP  |2024-08-01 11:40:00.000|                       |73.71      |2024-08-01 11:22:00.000 +0200|               |0             |
|2024-0044909|EB06     |Tanker Services Fuel      |KR89BYGP  |2024-08-01 11:40:00.000|                       |78.61      |2024-08-01 11:22:00.000 +0200|               |0             |
|2024-0044909|EB06     |Tanker Services Fuel      |KS68YTGP  |2024-08-01 11:40:00.000|2024-08-01 23:59:00.000|73.71      |2024-08-01 11:22:00.000 +0200|44,340         |120           |
