"tripnum","depotcode","transporter","vehiclereg","startdate","stopdate","avg_percent","loaddate","total_trip_time","total_distance"
"2024-0056263",EB21,Unitrans Supply Chain Sols,CAA425307,2024-09-24 20:08:00.000,2024-09-25 08:10:00.000,88.32,2024-09-24 20:08:00.000 +0200,43320.0,320
"2024-0058348",EB05,Reef Tankers,JN19RLGP,2024-10-04 18:09:00.000,,91.71,2024-10-04 18:02:00.000 +0200,,0
"2024-0059971",EB21,Makwande,KS49WRGP,2024-10-12 02:47:00.000,2024-10-12 13:01:00.000,62.94,2024-10-12 02:47:00.000 +0200,36840.0,55
"2024-0060160",EA33,Unitrans Supply Chain Sols,CAA130046,2024-10-13 07:58:00.000,,72.22,2024-10-13 07:52:00.000 +0200,,0
"2024-0063799",EB06,Tanker Services Fuel,KP69YDGP,2024-10-29 18:22:00.000,,93.91,2024-10-29 18:11:00.000 +0200,,0
"2024-0047771",EB21,Makwande,KR18VMGP,2024-08-15 17:10:00.000,,67.6,2024-08-15 10:50:00.000 +0200,,0
"2024-0051260",EB23,Makwande,KNM193MP,2024-09-02 05:24:00.000,,60.01,2024-09-01 20:27:00.000 +0200,,0
"2024-0063067",EB05,Tanker Services Fuel,KP80KNGP,2024-10-26 11:13:00.000,,92.47,2024-10-26 11:07:00.000 +0200,,0
"2024-0056655",EB06,Tanker Services Fuel,KP80HXGP,2024-09-26 15:48:00.000,,90.07,2024-09-26 15:40:00.000 +0200,,0
"2024-0059042",EB21,Makwande,KP09PHGP,2024-10-07 21:51:00.000,,91.68,2024-10-07 21:47:00.000 +0200,,0
"2024-0060427",EB06,Tanker Services Fuel,KP70CRGP,2024-10-14 11:35:00.000,,85.47,2024-10-14 11:13:00.000 +0200,,0
"2024-0047202",EA35,Unitrans Supply Chain Sols,CAA306835,2024-08-13 07:50:00.000,2024-08-13 13:00:00.000,79.08,2024-08-13 07:49:00.000 +0200,18600.0,151
"2024-0048246",EB23,Makwande,KPR059MP,2024-08-17 21:13:00.000,2024-08-18 15:00:00.000,86.09,2024-08-17 21:10:00.000 +0200,64020.0,242
"2024-0045203",EB06,Tanker Services Fuel,KP80NNGP,2024-08-02 22:28:00.000,,51.34,2024-08-02 22:16:00.000 +0200,,0
"2024-0047778",EA33,Unitrans Supply Chain Sols,CAA198199,2024-08-15 17:28:00.000,2024-08-15 22:08:00.000,93.24,2024-08-15 16:43:00.000 +0200,16800.0,121
"2024-0049421",EB06,Tanker Services Fuel,KR89BYGP,2024-08-23 10:28:00.000,,89.92,2024-08-23 10:21:00.000 +0200,,0
"2024-0049421",EB06,Tanker Services Fuel,KS68YTGP,2024-08-23 10:28:00.000,,26.02,2024-08-23 10:21:00.000 +0200,,0
"2024-0052010",EB23,Makwande,KNP803MP,2024-09-04 22:41:00.000,,74.99,2024-09-04 22:38:00.000 +0200,,0
"2024-0052010",EB23,Makwande,KNM191MP,2024-09-04 22:41:00.000,,22.17,2024-09-04 22:38:00.000 +0200,,0
"2024-0062886",EA33,Unitrans Supply Chain Sols,CAA142820,2024-10-25 08:48:00.000,2024-10-25 20:26:00.000,92.47,2024-10-25 08:46:00.000 +0200,41880.0,63
"2024-0052504",EB21,Makwande,KN67GLGP,2024-09-07 03:47:00.000,2024-09-07 22:03:00.000,80.02,2024-09-07 02:42:00.000 +0200,65760.0,493
"2024-0053078",EB06,Tanker Services Fuel,KP80HXGP,2024-09-09 21:28:00.000,2024-09-10 17:17:00.000,89.7,2024-09-09 21:21:00.000 +0200,71340.0,302
"2024-0053941",EB21,Makwande,KP75JPGP,2024-09-13 14:38:00.000,,90.82,2024-09-13 14:30:00.000 +0200,,0
"2024-0056502",EB06,Tanker Services Fuel,KP70CRGP,2024-09-25 21:46:00.000,2024-09-26 09:51:00.000,74.83,2024-09-25 21:30:00.000 +0200,43500.0,243
"2024-0056523",EA33,Unitrans Supply Chain Sols,CAA198199,2024-09-26 00:24:00.000,2024-09-26 17:43:00.000,88.8,2024-09-26 00:00:00.000 +0200,62340.0,15
"2024-0057230",EA33,Unitrans Supply Chain Sols,CAA418992,2024-09-29 16:29:00.000,,92.69,2024-09-29 16:25:00.000 +0200,,0
"2024-0058699",EB06,Reef Tankers,LV19ZYGP,2024-10-06 13:10:00.000,,92.27,2024-10-06 12:41:00.000 +0200,,0
"2024-0048505",EA33,Unitrans Supply Chain Sols,CAA130046,2024-08-19 13:24:00.000,2024-08-19 19:20:00.000,71.9,2024-08-19 13:21:00.000 +0200,21360.0,100
"2024-0062053",EB06,ManLine Energy,KBL322MP,2024-10-21 18:43:00.000,,92.25,2024-10-21 18:29:00.000 +0200,,0
"2024-0052365",EB06,Maphalakarabo,FPC349L,2024-09-06 12:06:00.000,,84.92,2024-09-06 11:55:00.000 +0200,,0
"2024-0053753",EA33,Unitrans Supply Chain Sols,CAA425318,2024-09-12 17:12:00.000,2024-09-12 23:17:00.000,86.72,2024-09-12 17:02:00.000 +0200,21900.0,65
"2024-0054334",EA33,Unitrans Supply Chain Sols,CAA329952,2024-09-15 15:58:00.000,2024-09-15 16:16:00.000,82.86,2024-09-15 15:54:00.000 +0200,1080.0,176
"2024-0055808",EB21,Makwande,KN23LXGP,2024-09-22 19:47:00.000,2024-09-23 10:22:00.000,88.68,2024-09-22 19:47:00.000 +0200,52500.0,176
"2024-0056616",EB06,ManLine Energy,KPV575MP,2024-09-26 13:02:00.000,,93.69,2024-09-26 12:50:00.000 +0200,,0
"2024-0058723",EB06,Reef Tankers,LV19ZMGP,2024-10-06 15:13:00.000,,92.22,2024-10-06 15:10:00.000 +0200,,0
"2024-0046331",EB21,Makwande,KN23LYGP,2024-08-08 14:31:00.000,,91.83,2024-08-08 14:29:00.000 +0200,,0
"2024-0062048",EB05,Reef Tankers,JN19RYGP,2024-10-21 17:30:00.000,,90.83,2024-10-21 17:25:00.000 +0200,,0
"2024-0063217",EA33,Unitrans Supply Chain Sols,CAA130019,2024-10-27 08:19:00.000,2024-10-27 19:52:00.000,82.89,2024-10-27 08:18:00.000 +0200,41580.0,91
"2024-0056691",EB23,Makwande,JMJ742MP,2024-09-26 19:03:00.000,,69.57,2024-09-26 19:00:00.000 +0200,,0
"2024-0048654",EB21,Makwande,KS49WFGP,2024-08-20 02:14:00.000,2024-08-20 10:00:00.000,0.0,2024-08-20 02:12:00.000 +0200,27960.0,89
"2024-0045945",EB06,ManLine Energy,NP208299,2024-08-06 18:29:00.000,,93.78,2024-08-06 18:07:00.000 +0200,,0
"2024-0050278",EB06,Tanker Services Fuel,KP80NNGP,2024-08-28 01:40:00.000,2024-08-28 19:28:00.000,90.12,2024-08-28 01:26:00.000 +0200,64080.0,340
"2024-0052240",EB06,Tanker Services Fuel,KP80NNGP,2024-09-05 21:32:00.000,2024-09-06 11:47:00.000,90.1,2024-09-05 21:02:00.000 +0200,51300.0,143
"2024-0061849",EB06,Tanker Services Fuel,KP70CRGP,2024-10-20 23:27:00.000,2024-10-21 22:39:00.000,89.59,2024-10-20 23:21:00.000 +0200,83520.0,411
"2024-0058513",EA33,Unitrans Supply Chain Sols,CAA425438,2024-10-05 15:15:00.000,,80.1,2024-10-05 14:40:00.000 +0200,,0
"2024-0060641",EB06,Tanker Services Fuel,KP55MSGP,2024-10-15 09:14:00.000,,89.84,2024-10-15 09:11:00.000 +0200,,0
"2024-0046347",EA33,Unitrans Supply Chain Sols,CAA425438,2024-08-08 15:14:00.000,2024-08-08 19:14:00.000,93.98,2024-08-08 13:49:00.000 +0200,14400.0,43
"2024-0047455",EB23,Makwande,KNP800MP,2024-08-14 09:13:00.000,2024-08-14 16:40:00.000,68.07,2024-08-14 08:55:00.000 +0200,26820.0,218
"2024-0047178",EA33,Unitrans Supply Chain Sols,CAA329932,2024-08-13 01:57:00.000,2024-08-13 13:18:00.000,82.22,2024-08-13 01:45:00.000 +0200,40860.0,82
"2024-0047185",EA33,Unitrans Supply Chain Sols,CAA130026,2024-08-13 02:13:00.000,2024-08-13 19:06:00.000,84.43,2024-08-13 01:11:00.000 +0200,60780.0,439
"2024-0051226",EB21,Makwande,KS49XBGP,,,87.05,,,105
"2024-0051226",EB21,Makwande,KS49WFGP,,,78.29,,,105
"2024-0052260",EB23,Makwande,KNM193MP,2024-09-05 23:28:00.000,2024-09-06 19:00:00.000,87.94,2024-09-05 23:26:00.000 +0200,70320.0,472
"2024-0062307",EB23,Makwande,KPR059MP,2024-10-22 22:13:00.000,,75.59,2024-10-22 22:01:00.000 +0200,,0
"2024-0052488",EA33,Unitrans Supply Chain Sols,CAA548852,2024-09-07 00:53:00.000,2024-09-07 06:54:00.000,84.51,2024-09-07 00:25:00.000 +0200,21660.0,56
"2024-0053307",EB21,Makwande,KP09PHGP,2024-09-10 19:48:00.000,,64.0,2024-09-10 19:47:00.000 +0200,,0
"2024-0056087",EB06,Tanker Services Fuel,KP70BFGP,2024-09-23 21:36:00.000,,80.3,2024-09-23 21:28:00.000 +0200,,0
"2024-0056079",EB23,Makwande,KNM191MP,2024-09-23 20:52:00.000,,73.17,2024-09-23 20:51:00.000 +0200,,0
"2024-0057961",EA33,Unitrans Supply Chain Sols,CAA329932,2024-10-03 00:51:00.000,2024-10-03 00:52:00.000,77.74,2024-10-02 10:27:00.000 +0200,60.0,366
"2024-0057904",EB05,Tanker Services Fuel,KP57JXGP,2024-10-02 17:30:00.000,,91.72,2024-10-02 17:19:00.000 +0200,,0
"2024-0045004",EA33,Unitrans Supply Chain Sols,CAA198211,2024-08-01 23:49:00.000,,94.88,2024-08-01 23:45:00.000 +0200,,0
"2024-0045004",EA33,Unitrans Supply Chain Sols,CAA198211,2024-08-01 23:49:00.000,2024-08-02 11:36:00.000,94.88,2024-08-01 23:45:00.000 +0200,42420.0,103
"2024-0049098",EB21,Makwande,KP75JPGP,2024-08-21 23:20:00.000,,91.11,2024-08-21 23:20:00.000 +0200,,0
"2024-0049737",EB06,Tanker Services Fuel,KP69XNGP,2024-08-24 22:37:00.000,,76.41,2024-08-24 22:28:00.000 +0200,,0
"2024-0057540",EA33,Unitrans Supply Chain Sols,CAA418992,2024-10-01 01:52:00.000,,87.86,2024-10-01 01:48:00.000 +0200,,0
"2024-0059412",EB21,Makwande,KP09PHGP,2024-10-09 12:59:00.000,2024-10-09 18:00:00.000,92.43,2024-10-09 12:59:00.000 +0200,18060.0,49
"2024-0045736",EA33,Unitrans Supply Chain Sols,CAA418992,2024-08-05 19:24:00.000,2024-08-06 00:25:00.000,92.1,2024-08-05 19:20:00.000 +0200,18060.0,107
"2024-0046695",EB23,Makwande,KPR059MP,2024-08-10 17:21:00.000,,74.88,2024-08-10 17:21:00.000 +0200,,0
"2024-0048892",EB21,Makwande,KP57DGGP,2024-08-21 03:33:00.000,2024-08-21 13:00:00.000,93.61,2024-08-21 03:32:00.000 +0200,34020.0,48
"2024-0051536",EB21,Makwande,KS49XLGP,,,83.96,,,14
"2024-0051536",EB21,Makwande,KS49WRGP,,,83.22,,,14
"2024-0062422",EB06,Tanker Services Fuel,KR44GGGP,2024-10-23 11:04:00.000,2024-10-23 20:24:00.000,77.44,2024-10-23 10:51:00.000 +0200,33600.0,89
"2024-0062422",EB06,Tanker Services Fuel,KR15VMGP,2024-10-23 11:04:00.000,2024-10-23 20:24:00.000,91.38,2024-10-23 10:51:00.000 +0200,33600.0,89
"2024-0063207",EB06,Tanker Services Fuel,KP69YSGP,2024-10-27 03:10:00.000,2024-10-27 11:14:00.000,86.64,2024-10-27 03:06:00.000 +0200,29040.0,63
"2024-0053128",EA33,Unitrans Supply Chain Sols,CAA329932,2024-09-10 03:27:00.000,2024-09-10 21:22:00.000,87.33,2024-09-10 02:51:00.000 +0200,64500.0,444
"2024-0054722",EB21,Makwande,KP57DGGP,2024-09-17 10:36:00.000,,82.48,2024-09-17 10:35:00.000 +0200,,0
"2024-0055515",EA33,Unitrans Supply Chain Sols,CAA329932,2024-09-21 00:29:00.000,2024-09-21 16:16:00.000,90.79,2024-09-21 00:25:00.000 +0200,56820.0,168
"2024-0055410",EB05,Tanker Services Fuel,KP69WYGP,2024-09-20 13:25:00.000,,90.91,2024-09-20 13:23:00.000 +0200,,0
"2024-0055999",EA33,Unitrans Supply Chain Sols,CAA170724,2024-09-23 14:39:00.000,,73.7,2024-09-23 13:48:00.000 +0200,,0
"2024-0057045",EB06,Tanker Services Fuel,KP70CRGP,2024-09-28 14:17:00.000,,80.54,2024-09-28 14:06:00.000 +0200,,0
"2024-0057448",EB21,Unitrans Supply Chain Sols,CAA130019,2024-09-30 15:45:00.000,,85.64,2024-09-30 15:42:00.000 +0200,,0
"2024-0058423",EB21,Makwande,KS49WLGP,2024-10-05 04:05:00.000,2024-10-05 15:35:00.000,88.88,2024-10-05 04:05:00.000 +0200,41400.0,156
"2024-0058423",EB21,Makwande,KS49VWGP,2024-10-05 04:05:00.000,2024-10-05 15:35:00.000,80.24,2024-10-05 04:05:00.000 +0200,41400.0,156
"2024-0059278",EB06,Reef Tankers,HJ29LCGP,2024-10-09 00:33:00.000,2024-10-09 19:17:00.000,93.89,2024-10-09 00:25:00.000 +0200,67440.0,423
"2024-0058810",EB06,Tanker Services Fuel,KP80HXGP,2024-10-07 03:29:00.000,,84.04,2024-10-07 03:23:00.000 +0200,,0
"2024-0060541",EB06,Tanker Services Fuel,KP80GGGP,2024-10-14 21:01:00.000,2024-10-15 08:46:00.000,85.5,2024-10-14 20:56:00.000 +0200,42300.0,83
"2024-0063813",EB21,Makwande,KP09PHGP,2024-10-29 20:48:00.000,,90.41,2024-10-29 20:46:00.000 +0200,,0
"2024-0045021",EB21,Makwande,KP41VSGP,2024-08-02 02:17:00.000,,80.04,2024-08-02 02:15:00.000 +0200,,0
"2024-0045021",EB21,Makwande,KP41VSGP,2024-08-02 02:17:00.000,2024-08-02 16:20:00.000,80.04,2024-08-02 02:15:00.000 +0200,50580.0,33
"2024-0049298",EB23,Makwande,KNM193MP,2024-08-22 19:12:00.000,,83.28,2024-08-22 19:09:00.000 +0200,,0
"2024-0051452",EB21,Makwande,KN67GLGP,2024-09-02 19:13:00.000,,94.25,2024-09-02 19:13:00.000 +0200,,0
"2024-0055395",EB23,Makwande,KPR059MP,2024-09-20 11:35:00.000,,91.69,2024-09-20 11:26:00.000 +0200,,0
"2024-0056320",EA35,Unitrans Supply Chain Sols,CAA330049,2024-09-25 07:43:00.000,,83.06,2024-09-25 07:39:00.000 +0200,,0
"2024-0056911",EB21,Makwande,KP41VSGP,2024-09-27 20:30:00.000,2024-09-28 08:35:00.000,90.27,2024-09-27 20:21:00.000 +0200,43500.0,37
"2024-0058206",EA35,Unitrans Supply Chain Sols,CAA306835,2024-10-04 08:26:00.000,,91.91,2024-10-04 08:24:00.000 +0200,,0
"2024-0058618",EB23,Makwande,KNM191MP,2024-10-06 08:09:00.000,,72.53,2024-10-06 08:09:00.000 +0200,,0
"2024-0058618",EB23,Makwande,KNP803MP,2024-10-06 08:09:00.000,,90.33,2024-10-06 08:09:00.000 +0200,,0
"2024-0058921",EB05,Tanker Services Fuel,KP80KNGP,2024-10-07 11:37:00.000,,93.82,2024-10-07 11:33:00.000 +0200,,0
"2024-0059946",EA33,Makwande,KS49WFGP,2024-10-11 21:25:00.000,2024-10-12 07:48:00.000,79.84,2024-10-11 21:24:00.000 +0200,37380.0,293
"2024-0059946",EA33,Makwande,KS49XBGP,2024-10-11 21:25:00.000,2024-10-12 07:48:00.000,94.99,2024-10-11 21:24:00.000 +0200,37380.0,293
"2024-0061013",EA33,Unitrans Supply Chain Sols,CAA425438,2024-10-16 20:46:00.000,2024-10-17 12:08:00.000,88.0,2024-10-16 20:43:00.000 +0200,55320.0,111
"2024-0063753",EB21,Makwande,KN31RWGP,2024-10-29 13:32:00.000,,91.19,2024-10-29 13:31:00.000 +0200,,0
"2024-0062076",EB06,Tanker Services Fuel,KP80HXGP,2024-10-21 21:32:00.000,2024-10-22 15:10:00.000,90.55,2024-10-21 21:08:00.000 +0200,63480.0,141
"2024-0062730",EB21,Makwande,KP57DGGP,2024-10-24 20:36:00.000,2024-10-25 00:41:00.000,86.27,2024-10-24 20:36:00.000 +0200,14700.0,80
"2024-0063370",EB06,Tanker Services Fuel,KP55MSGP,2024-10-28 00:48:00.000,2024-10-28 15:39:00.000,90.82,2024-10-28 00:41:00.000 +0200,53460.0,61
"2024-0054415",EB08,Tanker Services Fuel,KP80LYGP,2024-09-16 09:06:00.000,2024-09-16 17:21:00.000,91.63,2024-09-16 08:59:00.000 +0200,29700.0,332
"2024-0055215",EB06,Tanker Services Fuel,KP74KMGP,2024-09-19 14:40:00.000,,83.66,2024-09-19 14:26:00.000 +0200,,0
"2024-0055215",EB06,Tanker Services Fuel,KP80ZYGP,2024-09-19 14:40:00.000,,0.0,2024-09-19 14:26:00.000 +0200,,0
"2024-0056155",EB21,Makwande,KP41VSGP,2024-09-24 09:59:00.000,,78.69,2024-09-24 09:59:00.000 +0200,,0
"2024-0058476",EB21,Makwande,KS49XBGP,2024-10-05 11:49:00.000,,91.79,2024-10-05 11:49:00.000 +0200,,0
"2024-0058782",EB21,Unitrans Supply Chain Sols,CAA130019,2024-10-06 22:25:00.000,2024-10-07 11:50:00.000,88.59,2024-10-06 22:25:00.000 +0200,48300.0,198
"2024-0045890",EB06,Tanker Services Fuel,KP70BFGP,2024-08-06 12:07:00.000,,75.46,2024-08-06 11:55:00.000 +0200,,0
"2024-0063152",EB06,Reef Tankers,LC21FWGP,2024-10-26 19:56:00.000,,89.17,2024-10-26 19:53:00.000 +0200,,0
"2024-0052487",EA33,Unitrans Supply Chain Sols,CAA170724,2024-09-07 00:48:00.000,2024-09-07 15:36:00.000,94.14,2024-09-07 00:35:00.000 +0200,53280.0,303
"2024-0052503",EB21,Makwande,KN31RWGP,2024-09-07 03:47:00.000,,86.37,2024-09-07 03:17:00.000 +0200,,0
"2024-0053834",EB06,Tanker Services Fuel,HG68LCGP,2024-09-13 02:43:00.000,,50.29,2024-09-13 02:34:00.000 +0200,,0
"2024-0054203",EA33,Unitrans Supply Chain Sols,CAA419006,2024-09-14 16:42:00.000,,84.91,2024-09-14 16:35:00.000 +0200,,0
"2024-0055210",EB06,Reef Tankers,JZ26LWGP,2024-09-19 14:12:00.000,,94.02,2024-09-19 13:55:00.000 +0200,,0
"2024-0055485",EB06,Tanker Services Fuel,KP70CRGP,2024-09-20 21:44:00.000,2024-09-21 08:20:00.000,90.96,2024-09-20 21:30:00.000 +0200,38160.0,196
"2024-0056526",EB21,Makwande,KN23LXGP,2024-09-26 00:36:00.000,2024-09-26 20:12:00.000,59.25,2024-09-26 00:36:00.000 +0200,70560.0,483
"2024-0056959",EA33,Unitrans Supply Chain Sols,CAA173582,2024-09-28 04:58:00.000,2024-09-28 15:03:00.000,74.51,2024-09-28 02:25:00.000 +0200,36300.0,402
"2024-0060271",EB23,Makwande,KNM209MP,2024-10-13 19:19:00.000,,71.59,2024-10-13 19:19:00.000 +0200,,0
"2024-0059745",EA33,Unitrans Supply Chain Sols,CAA425312,2024-10-11 00:36:00.000,2024-10-11 16:49:00.000,88.5,2024-10-11 00:34:00.000 +0200,58380.0,118
"2024-0061056",EB06,Tanker Services Fuel,KP80HXGP,2024-10-17 01:46:00.000,2024-10-17 22:40:00.000,92.18,2024-10-17 01:40:00.000 +0200,75240.0,259
"2024-0050493",EB21,Makwande,KS49WRGP,2024-08-28 19:43:00.000,2024-08-28 22:09:00.000,83.29,2024-08-28 19:41:00.000 +0200,8760.0,50
"2024-0050493",EB21,Makwande,KS49XLGP,2024-08-28 19:43:00.000,2024-08-28 22:09:00.000,79.53,2024-08-28 19:41:00.000 +0200,8760.0,50
"2024-0061788",EB06,Tanker Services Fuel,KP69XNGP,2024-10-20 14:41:00.000,2024-10-20 23:37:00.000,35.85,2024-10-20 14:38:00.000 +0200,32160.0,77
"2024-0052819",EB21,Makwande,KS49WFGP,2024-09-09 01:42:00.000,,94.9,2024-09-09 00:39:00.000 +0200,,0
"2024-0052819",EB21,Makwande,KS49XBGP,2024-09-09 01:42:00.000,,91.52,2024-09-09 00:39:00.000 +0200,,0
"2024-0058620",EA33,Unitrans Supply Chain Sols,CAA130026,2024-10-06 08:26:00.000,,67.75,2024-10-06 08:14:00.000 +0200,,0
"2024-0058553",EB21,Makwande,KN31RWGP,2024-10-05 19:25:00.000,,92.16,2024-10-05 19:25:00.000 +0200,,0
"2024-0051955",EB06,Tanker Services Fuel,KP70BFGP,,,88.97,,,411
"2024-0051955",EB06,Tanker Services Fuel,KP70BFGP,2024-09-04 17:39:00.000,2024-09-05 10:28:00.000,88.97,2024-09-04 17:30:00.000 +0200,60540.0,411
"2024-0052226",EB21,Makwande,KP41VSGP,2024-09-05 20:04:00.000,2024-09-06 05:15:00.000,92.17,2024-09-05 20:04:00.000 +0200,33060.0,325
"2024-0053271",EB06,Maphalakarabo,FPC349L,2024-09-10 15:07:00.000,2024-09-11 11:20:00.000,85.14,2024-09-10 14:51:00.000 +0200,72780.0,267
"2024-0054595",EA33,Unitrans Supply Chain Sols,CAA170724,2024-09-16 19:58:00.000,2024-09-17 00:33:00.000,94.93,2024-09-16 19:42:00.000 +0200,16500.0,92
"2024-0054981",EA33,Makwande,KNM191MP,2024-09-18 11:52:00.000,,86.9,2024-09-18 11:50:00.000 +0200,,0
"2024-0046194",EB06,Tanker Services Fuel,KP69XNGP,2024-08-07 23:45:00.000,,72.73,2024-08-07 23:25:00.000 +0200,,0
"2024-0048872",EB06,Reef Tankers,HJ73JZGP,2024-08-21 00:23:00.000,,84.9,2024-08-21 00:16:00.000 +0200,,0
"2024-0062093",EB06,Tanker Services Fuel,KP80GGGP,2024-10-21 23:17:00.000,2024-10-22 12:10:00.000,91.22,2024-10-21 22:53:00.000 +0200,46380.0,81
"2024-0054339",EB23,Makwande,KNP802MP,2024-09-14 22:09:00.000,2024-09-15 19:45:00.000,63.11,2024-09-14 22:09:00.000 +0200,77760.0,488
"2024-0059032",EB21,Makwande,KP41VSGP,2024-10-07 21:10:00.000,2024-10-08 07:45:00.000,58.08,2024-10-07 21:03:00.000 +0200,38100.0,77
"2024-0047741",EA33,Unitrans Supply Chain Sols,CAA418992,2024-08-15 13:34:00.000,2024-08-15 19:48:00.000,85.38,2024-08-15 12:08:00.000 +0200,22440.0,92
"2024-0054975",EB06,Tanker Services Fuel,KP80HXGP,2024-09-18 11:35:00.000,2024-09-18 21:50:00.000,84.46,2024-09-18 11:28:00.000 +0200,36900.0,123
"2024-0044922",EB06,Tanker Services Fuel,KP70BFGP,2024-08-01 12:54:00.000,,88.79,2024-08-01 12:38:00.000 +0200,,0
"2024-0049721",EB21,Makwande,KP41VSGP,2024-08-24 20:58:00.000,,91.35,2024-08-24 20:58:00.000 +0200,,0
"2024-0049936",EB21,Makwande,KP09PHGP,2024-08-26 16:36:00.000,2024-08-27 03:10:00.000,93.42,2024-08-26 16:25:00.000 +0200,38040.0,329
"2024-0051779",EB23,Makwande,KPR059MP,2024-09-03 23:49:00.000,,94.39,2024-09-03 23:49:00.000 +0200,,0
"2024-0055394",EB23,Makwande,KNP803MP,2024-09-20 11:25:00.000,2024-09-20 18:30:00.000,49.83,2024-09-20 11:20:00.000 +0200,25500.0,264
"2024-0055394",EB23,Makwande,KNM191MP,2024-09-20 11:25:00.000,2024-09-20 18:30:00.000,0.0,2024-09-20 11:20:00.000 +0200,25500.0,264
"2024-0057333",EA35,Unitrans Supply Chain Sols,CAA330049,2024-09-30 09:08:00.000,2024-09-30 15:00:00.000,80.93,2024-09-30 09:08:00.000 +0200,21120.0,516
"2024-0058719",EB06,ManLine Energy,KBL322MP,2024-10-06 14:36:00.000,,91.93,2024-10-06 14:30:00.000 +0200,,0
"2024-0060929",EA33,Tanker Services Fuel,FP30TYGP,2024-10-16 12:58:00.000,,87.26,2024-10-16 12:57:00.000 +0200,,0
"2024-0048962",EB23,Makwande,KNM193MP,2024-08-21 10:56:00.000,2024-08-21 20:15:00.000,92.01,2024-08-21 10:53:00.000 +0200,33540.0,372
"2024-0049214",EA33,Unitrans Supply Chain Sols,CAA306835,2024-08-22 11:15:00.000,,81.17,2024-08-22 11:10:00.000 +0200,,0
"2024-0050440",EB21,Makwande,KS49XBGP,2024-08-28 16:04:00.000,2024-08-28 22:11:00.000,83.64,2024-08-28 16:04:00.000 +0200,22020.0,216
"2024-0050440",EB21,Makwande,KS49WFGP,2024-08-28 16:04:00.000,2024-08-28 22:11:00.000,84.4,2024-08-28 16:04:00.000 +0200,22020.0,216
"2024-0062549",EA33,Unitrans Supply Chain Sols,CAA425438,2024-10-24 00:00:00.000,2024-10-24 14:02:00.000,93.96,2024-10-23 23:57:00.000 +0200,50520.0,101
"2024-0055273",EB21,Unitrans Supply Chain Sols,CAA425307,2024-09-19 20:16:00.000,,87.21,2024-09-19 20:13:00.000 +0200,,0
"2024-0059740",EA33,Unitrans Supply Chain Sols,CAA425438,2024-10-10 23:46:00.000,2024-10-11 07:08:00.000,84.61,2024-10-10 23:44:00.000 +0200,26520.0,96
"2024-0046359",EA33,Reef Tankers,LC21FRGP,2024-08-08 16:03:00.000,,93.02,2024-08-08 15:54:00.000 +0200,,0
"2024-0063747",EA33,Tanker Services Fuel,JT44FWGP,2024-10-29 12:30:00.000,,87.32,2024-10-29 12:14:00.000 +0200,,0
"2024-0053238",EB06,Tanker Services Fuel,KP80GGGP,2024-09-10 12:45:00.000,,94.09,2024-09-10 12:32:00.000 +0200,,0
"2024-0054965",EB05,Reef Tankers,DH83YLGP,2024-09-18 11:05:00.000,,81.02,2024-09-18 10:53:00.000 +0200,,0
"2024-0056982",EB05,Tanker Services Fuel,KP69WYGP,2024-09-28 09:05:00.000,,87.45,2024-09-28 09:00:00.000 +0200,,0
"2024-0057891",EA33,Unitrans Supply Chain Sols,CAA419040,2024-10-02 16:21:00.000,2024-10-03 00:01:00.000,84.52,2024-10-02 16:17:00.000 +0200,27600.0,87
